ClientID,Region,Country,Date,Revenue
C001,Americas,US,2024-01-15,1000
C001,Americas,US,2024-02-15,1100
C001,Americas,US,2024-03-15,1200
C001,Americas,US,2024-04-15,900
C001,Americas,US,2024-05-15,950
C001,Americas,US,2024-06-15,1000
C002,EMEA,UK,2024-01-20,2000
C002,EMEA,UK,2024-02-20,2000
C002,EMEA,UK,2024-03-20,2000
C003,APAC,IN,2024-04-10,500
C003,APAC,IN,2024-05-10,700
C003,APAC,IN,2024-06-10,800
C004,EMEA,DE,2024-01-12,1500
C004,EMEA,DE,2024-02-12,1400
C004,EMEA,DE,2024-03-12,1300
C004,EMEA,DE,2024-04-12,1200
C004,EMEA,DE,2024-05-12,1100
C004,EMEA,DE,2024-06-12,1000
C005,APAC,AU,2024-01-05,300
C005,APAC,AU,2024-03-05,300
C005,APAC,AU,2024-04-05,500
C005,APAC,AU,2024-05-05,500
C006,Americas,US,2024-05-15,2500
